student_id,tam,eng,math,science,social,total,grade
260,45,60,78,97,91,371,C
261,62,98,75,90,46,371,C
262,78,74,97,88,68,405,B
263,51,35,77,57,38,258,F
264,81,98,57,62,58,356,C
265,84,35,62,39,52,272,F
266,72,61,41,61,85,320,D
267,47,60,65,90,67,329,D
268,87,94,86,99,52,418,B
269,66,54,89,51,71,331,D
270,46,90,42,55,48,281,F
271,86,52,93,63,39,333,D
272,42,59,96,92,44,333,D
273,94,61,38,86,48,327,D
274,42,54,35,57,73,261,F
275,79,35,41,100,84,339,D
276,38,82,92,97,68,377,C
277,36,98,76,60,81,351,C
278,48,89,68,74,66,345,D
279,100,55,51,83,68,357,C
280,68,78,39,43,95,323,D
281,94,72,64,36,79,345,D
282,39,83,76,47,58,303,D
283,80,41,75,81,75,352,C
284,88,71,90,71,87,407,B
285,74,49,40,74,57,294,F
286,65,86,89,83,60,383,C
287,71,64,91,39,57,322,D
288,83,92,42,49,43,309,D
289,45,41,85,79,38,288,F
290,49,44,72,56,72,293,F
291,50,45,97,95,35,322,D
292,99,76,76,93,77,421,B
293,91,47,52,44,73,307,D
294,67,81,42,72,58,320,D
295,96,65,79,79,53,372,C
296,70,54,71,47,59,301,D
297,54,61,40,87,76,318,D
298,100,82,68,40,73,363,C
299,77,51,67,74,71,340,D
300,36,44,95,52,90,317,D
301,49,99,61,48,95,352,C
302,83,71,53,55,73,335,D
303,63,40,73,98,74,348,D
304,72,86,81,55,84,378,C
305,82,92,89,39,89,391,C
306,50,96,68,60,62,336,D
307,63,92,64,35,65,319,D
308,52,62,71,42,75,302,D
309,92,42,70,99,96,399,C
310,43,52,71,51,57,274,F
311,96,70,86,50,87,389,C
312,62,62,47,87,48,306,D
313,97,41,43,70,49,300,D
314,80,45,85,54,70,334,D
315,78,47,61,89,88,363,C
316,84,41,78,70,58,331,D
317,64,86,93,65,43,351,C
318,53,47,49,94,46,289,F
319,98,79,82,60,53,372,C
320,36,64,45,69,79,293,F
321,43,95,58,89,97,382,C
322,93,95,75,83,75,421,B
323,67,83,64,67,40,321,D
324,62,37,52,97,44,292,F
325,72,56,57,65,55,305,D
326,95,66,93,70,82,406,B
327,50,37,36,52,70,245,F
328,92,86,72,48,41,339,D
329,53,53,44,76,67,293,F
330,83,40,65,92,39,319,D
331,49,45,99,60,68,321,D
332,65,40,77,79,44,305,D
333,71,65,84,76,43,339,D
334,84,82,61,59,75,361,C
335,93,40,43,58,82,316,D
336,67,70,66,82,60,345,D
337,57,74,37,60,96,324,D
338,81,88,38,84,47,338,D
339,72,36,65,35,54,262,F
340,65,75,83,47,53,323,D
341,36,63,46,94,94,333,D
342,59,45,60,41,69,274,F
343,45,50,68,52,43,258,F
344,71,59,43,80,77,330,D
345,41,35,46,76,36,234,F
346,81,57,67,47,80,332,D
347,63,88,67,94,39,351,C
348,66,64,57,81,61,329,D
349,70,73,42,79,62,326,D
350,97,98,84,74,54,407,B
351,59,79,79,43,45,305,D
352,91,98,40,84,73,386,C
353,39,62,90,37,90,318,D
354,56,87,37,60,46,286,F
355,64,62,86,74,62,348,D
356,87,39,61,99,75,361,C
357,87,48,81,60,77,353,C
358,92,93,61,54,48,348,D
359,77,35,71,99,96,378,C
360,37,75,41,36,72,261,F
361,98,65,61,78,73,375,C
362,85,86,44,42,75,332,D
363,95,52,99,53,36,335,D
364,92,59,85,47,90,373,C
365,81,96,48,57,94,376,C
366,35,90,89,61,90,365,C
367,59,83,40,80,76,338,D
368,51,42,35,35,59,222,F
369,51,68,81,36,43,279,F
370,52,68,59,58,57,294,F
371,93,41,37,89,47,307,D
372,66,58,39,50,41,254,F
373,95,99,99,63,62,418,B
374,75,65,96,93,47,376,C
375,69,76,57,84,74,360,C
376,38,36,45,61,41,221,F
377,80,59,73,85,35,332,D
378,61,53,60,98,39,311,D
379,67,54,41,90,82,334,D
380,52,72,74,73,77,348,D
381,72,52,75,42,99,340,D
382,57,88,52,95,100,392,C
383,63,47,56,98,58,322,D
384,60,57,87,42,53,299,F
385,84,92,36,77,90,379,C
386,60,84,71,93,56,364,C
387,79,64,68,59,71,341,D
388,66,82,99,67,100,414,B
389,55,36,62,49,59,261,F
390,70,79,74,55,60,338,D
391,55,61,67,100,88,371,C
392,64,68,85,89,66,372,C
393,100,65,45,83,99,392,C
394,72,41,89,76,76,354,C
395,77,65,59,41,77,319,D
396,38,60,90,62,82,332,D
397,57,52,71,82,93,355,C
398,84,41,80,100,58,363,C
399,84,91,80,83,54,392,C
400,51,85,94,42,98,370,C
401,44,84,99,86,72,385,C
402,63,68,37,84,83,335,D
403,40,35,42,82,38,237,F
404,71,74,43,97,73,358,C
405,66,45,70,94,60,335,D
406,71,90,71,37,51,320,D
407,37,63,93,44,100,337,D
408,92,43,95,47,59,336,D
409,72,96,49,66,61,344,D
410,39,59,79,73,45,295,F
411,82,57,79,81,58,357,C
412,72,47,44,80,57,300,D
413,36,52,97,60,38,283,F
414,71,56,93,41,93,354,C
415,60,53,46,86,88,333,D
416,85,66,74,41,48,314,D
417,71,71,40,64,56,302,D
418,66,61,84,71,95,377,C
419,44,80,58,74,68,324,D
420,95,36,68,90,95,384,C
421,55,94,89,50,36,324,D
422,60,63,59,51,87,320,D
423,53,73,84,81,51,342,D
424,85,49,98,70,89,391,C
425,46,93,65,80,81,365,C
426,82,49,73,92,59,355,C
427,64,92,99,39,68,362,C
428,83,36,83,50,80,332,D
429,52,75,75,77,92,371,C
430,83,78,63,46,66,336,D
431,64,84,57,52,48,305,D
432,54,68,77,71,83,353,C
433,49,81,61,40,35,266,F
434,65,88,93,40,43,329,D
435,54,50,70,44,92,310,D
436,44,39,46,86,98,313,D
437,59,75,97,56,58,345,D
438,66,81,84,42,37,310,D
439,82,37,63,87,70,339,D
440,38,45,46,52,38,219,F
441,37,99,68,62,76,342,D
442,40,59,92,59,88,338,D
443,64,71,74,79,51,339,D
444,80,71,76,57,72,356,C
445,36,48,48,79,86,297,F
446,66,39,58,42,47,252,F
447,70,96,51,39,76,332,D
448,52,58,46,57,80,293,F
449,85,67,67,90,100,409,B
450,44,37,41,42,65,229,F
451,86,36,78,65,64,329,D
452,58,51,55,73,40,277,F
453,55,77,48,88,80,348,D
454,79,54,93,66,56,348,D
455,97,67,61,93,36,354,C
456,46,55,85,68,74,328,D
457,48,54,68,86,95,351,C
458,72,67,37,45,68,289,F
459,60,67,63,94,62,346,D
460,87,61,53,78,68,347,D
461,44,83,92,52,81,352,C
462,40,81,50,94,47,312,D
463,50,60,93,37,60,300,D
464,60,36,57,42,35,230,F
465,93,36,80,93,87,389,C
466,73,77,39,68,64,321,D
467,96,54,56,63,81,350,C
468,61,94,80,75,54,364,C
469,46,57,37,74,49,263,F
470,39,65,80,96,62,342,D
471,75,47,77,57,45,301,D
472,71,69,88,62,42,332,D
473,85,36,81,99,66,367,C
474,86,41,39,99,65,330,D
475,84,75,85,71,64,379,C
476,61,91,82,82,97,413,B
477,38,82,50,66,41,277,F
478,67,35,72,52,58,284,F
479,98,59,76,88,77,398,C
480,55,86,96,56,95,388,C
481,40,41,66,80,43,270,F
482,56,95,38,91,63,343,D
483,98,68,87,92,76,421,B
484,60,36,84,41,88,309,D
485,85,89,93,74,96,437,B
486,97,35,76,95,95,398,C
487,85,76,61,72,65,359,C
488,39,56,46,59,76,276,F
489,56,59,53,80,70,318,D
490,90,78,86,68,43,365,C
491,58,36,38,92,41,265,F
492,44,90,90,65,43,332,D
493,71,75,84,99,36,365,C
494,55,42,83,38,36,254,F
495,42,95,77,46,62,322,D
496,49,45,36,41,90,261,F
497,61,69,57,95,77,359,C
498,50,36,77,74,75,312,D
499,63,84,50,81,91,369,C
500,74,90,74,53,63,354,C
